city,slug,name,alt_name,kind,source,ward,lga,state,is_primary,in_plate,lon,lat
Abuja,abuja,Chika,,settlement,grid3,Kabusa,Municipal Area Council,Fct,1,1,7.4076,8.99277
Abuja,abuja,Dakwa 2,,settlement,grid3,Kubwa,Bwari,Fct,1,1,7.23344,9.11201
Abuja,abuja,Durumi,,settlement,grid3,Garki,Municipal Area Council,Fct,1,1,7.47342,9.01212
Abuja,abuja,Dutse Alhaji,,settlement,grid3,Dutse,Bwari,Fct,1,1,7.37108,9.13999
Abuja,abuja,Dutsen Garki,,settlement,grid3,Garki,Municipal Area Council,Fct,1,1,7.48647,8.97718
Abuja,abuja,Garki Area 1,,settlement,grid3,City Centre,Municipal Area Council,Fct,1,1,7.47081,9.03104
Abuja,abuja,Garki II Area 11,,settlement,grid3,City Centre,Municipal Area Council,Fct,1,1,7.495693,9.036343
Abuja,abuja,Idu Okoro 1,,settlement,grid3,Gwarinpa,Municipal Area Council,Fct,1,1,7.35932,9.071586
Abuja,abuja,Jahi 1,,settlement,grid3,Gwarinpa,Municipal Area Council,Fct,1,1,7.441215,9.095588
Abuja,abuja,Jikwoyi,,settlement,grid3,Karu,Municipal Area Council,Fct,1,1,7.57064,8.99625
Abuja,abuja,Karsana,,settlement,grid3,Gwarinpa,Municipal Area Council,Fct,1,1,7.336888,9.124612
Abuja,abuja,Ketti,,settlement,grid3,Kabusa,Municipal Area Council,Fct,1,1,7.394345,8.926513
Abuja,abuja,Kubwa,,settlement,grid3,Usuma,Bwari,Fct,1,1,7.340659,9.157236
Abuja,abuja,Kubwa Village,,settlement,grid3,Kubwa,Bwari,Fct,1,1,7.32067,9.15287
Abuja,abuja,Kuchigoro,,settlement,grid3,Gwarinpa,Municipal Area Council,Fct,1,1,7.4222,9.01582
Abuja,abuja,Kugbo 1 Catholic Church,,settlement,grid3,Nyanya,Municipal Area Council,Fct,1,1,7.545435,9.024805
Abuja,abuja,Life Camp,,settlement,grid3,Gwarinpa,Municipal Area Council,Fct,1,1,7.3984,9.077644
Abuja,abuja,Lugbe Fha,,settlement,grid3,Kabusa,Municipal Area Council,Fct,1,1,7.324432,8.9661
Abuja,abuja,Mabushi Nakowa,,settlement,grid3,Gwarinpa,Municipal Area Council,Fct,1,1,7.45503,9.081898
Abuja,abuja,Nyanya,,settlement,grid3,Nyanya,Municipal Area Council,Fct,1,1,7.56728,9.0221
Abuja,abuja,Shape 1,,settlement,grid3,Dutse,Bwari,Fct,1,1,7.56625,9.11062
Abuja,abuja,Wuye,,settlement,grid3,Gwarinpa,Municipal Area Council,Fct,1,1,7.44584,9.0531
Abuja,abuja,Zhako Yako,,settlement,grid3,Kabusa,Municipal Area Council,Fct,1,1,7.45576,8.88937
Abuja,abuja,Aguiyi Ironsi Cantonment,,settlement,grid3,City Centre,Municipal Area Council,Fct,0,1,7.527106,9.066544
Abuja,abuja,Aleyita,,settlement,grid3,Kabusa,Municipal Area Council,Fct,0,1,7.40119,8.99125
Abuja,abuja,Anakita,Ketti Village,settlement,grid3,Kabusa,Municipal Area Council,Fct,0,1,7.39999,8.918928
Abuja,abuja,Anguwan Gbagyi Gbagalape,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.576948,9.057723
Abuja,abuja,Anguwan Hausawa,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.568053,9.020879
Abuja,abuja,Apo,,settlement,grid3,Garki,Municipal Area Council,Fct,0,1,7.499663,8.973643
Abuja,abuja,Apo Resettlement,,settlement,grid3,Garki,Municipal Area Council,Fct,0,1,7.496071,8.986626
Abuja,abuja,Apo Roundabout Settlement,,settlement,grid3,Garki,Municipal Area Council,Fct,0,1,7.491201,9.015012
Abuja,abuja,Apo Sunrise Plaza,,settlement,grid3,Garki,Municipal Area Council,Fct,0,1,7.498213,8.98745
Abuja,abuja,Apostolic Church,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.577281,9.055646
Abuja,abuja,Aquamarine Estate,,settlement,grid3,Garki,Municipal Area Council,Fct,0,1,7.495247,8.955519
Abuja,abuja,Area 1 Dagba,,settlement,grid3,City Centre,Municipal Area Council,Fct,0,1,7.468185,9.023745
Abuja,abuja,Area A 1,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.566813,9.027618
Abuja,abuja,Area A1 Islamiya School,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.567152,9.027812
Abuja,abuja,Area A2 Block7,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.568182,9.026715
Abuja,abuja,Area B,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.569712,9.029081
Abuja,abuja,Area B Extention,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.567707,9.031571
Abuja,abuja,Area B Extention Capital City Blessed Academy,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.569632,9.032162
Abuja,abuja,Area B Extention Deeper Life,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.569593,9.03168
Abuja,abuja,Area B Extention Fountain Academy,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.571367,9.033225
Abuja,abuja,Area B Extention Redeem Church,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.57007,9.03433
Abuja,abuja,Area B Extention Revival Outreach,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.569366,9.032552
Abuja,abuja,Area B Extention Ris School,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.571372,9.033502
Abuja,abuja,Area B Extention United Evangelical School,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.571068,9.032242
Abuja,abuja,Area B Extention the Redeemed Sanctified Zion Church,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.569765,9.034213
Abuja,abuja,Area C Costom,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.573738,9.032126
Abuja,abuja,Area C Extension,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.575284,9.032865
Abuja,abuja,Area C Hilltop,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.57454,9.035682
Abuja,abuja,Area C Mopol,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.575356,9.033876
Abuja,abuja,Area C Quaters,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.573243,9.03243
Abuja,abuja,Area D Block 110,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.577293,9.029326
Abuja,abuja,Area D Ss Peter and Paul Nyanya,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.577475,9.02865
Abuja,abuja,Area F 1 Vicilly Excel School,,settlement,grid3,Nyanya,Municipal Area Council,Fct,0,1,7.57243,9.026092
