city,slug,name,alt_name,kind,source,ward,lga,state,is_primary,in_plate,lon,lat
Ibadan,ibadan,Aare,,settlement,grid3,Bashorun,Ibadan North,Oyo,1,1,3.910278,7.42258
Ibadan,ibadan,Aba Alaka,,settlement,grid3,Ago Tapa,Ibadan North,Oyo,1,1,3.893035,7.407903
Ibadan,ibadan,Abebi,,settlement,grid3,Abebi,Ibadan North West,Oyo,1,1,3.894103,7.386743
Ibadan,ibadan,Academy Olomi,,settlement,grid3,Odeaje,Ibadan North East,Oyo,1,1,3.918098,7.33991
Ibadan,ibadan,Ago Taylor Ibadan South West,,settlement,grid3,Apata–Odo Ona,Ibadan South West,Oyo,1,1,3.85522,7.378
Ibadan,ibadan,Alabosa GRA,,settlement,grid3,Alesinloye,Ibadan South West,Oyo,1,1,3.86136,7.38281
Ibadan,ibadan,Alaro Ijokodo,Ijokodo,settlement,grid3,Sango,Ibadan North,Oyo,1,1,3.888168,7.426524
Ibadan,ibadan,Apata Kekere,,settlement,grid3,Agbowo,Ibadan North,Oyo,1,1,3.91359,7.450085
Ibadan,ibadan,Awolowo,,settlement,grid3,Old Bodija,Ibadan North,Oyo,1,1,3.91071,7.416753
Ibadan,ibadan,Ayeye,,settlement,grid3,Bere,Ibadan North West,Oyo,1,1,3.894109,7.37952
Ibadan,ibadan,Barracks,,settlement,grid3,Basorun,Ibadan North East,Oyo,1,1,3.932355,7.40391
Ibadan,ibadan,Benjamin,,settlement,grid3,Eleyele,Ibadan North West,Oyo,1,1,3.867542,7.414555
Ibadan,ibadan,Born Photo,,settlement,grid3,Beere–Mapo,Ibadan South East,Oyo,1,1,3.891629,7.374509
Ibadan,ibadan,College Cresicent,,settlement,grid3,Ring Road–Challenge–Oluyole,Ibadan South West,Oyo,1,1,3.85416,7.36302
Ibadan,ibadan,Ekeyedo Oga Nla,,settlement,grid3,Inalende,Ibadan North West,Oyo,1,1,3.88856,7.39527
Ibadan,ibadan,Felele,,settlement,grid3,Challenge,Ibadan South East,Oyo,1,1,3.88737,7.343502
Ibadan,ibadan,Gege,,settlement,grid3,Foko–Ologede,Ibadan South West,Oyo,1,1,3.891483,7.377287
Ibadan,ibadan,IDI Oro,,settlement,grid3,Irefin,Ibadan North East,Oyo,1,1,3.917723,7.392098
Ibadan,ibadan,Ikolaba Estate,,settlement,grid3,Bashorun,Ibadan North,Oyo,1,1,3.91925,7.415727
Ibadan,ibadan,Ilupeju,,settlement,grid3,Molete,Ibadan South East,Oyo,1,1,3.899297,7.360225
Ibadan,ibadan,Jericho,,settlement,grid3,Afonta,Ibadan North West,Oyo,1,1,3.863213,7.391658
Ibadan,ibadan,Joyce B,Oke Ado,settlement,grid3,Oke Ado–Liberty,Ibadan South West,Oyo,1,1,3.866508,7.368727
Ibadan,ibadan,Kudeti,,settlement,grid3,Molete,Ibadan South East,Oyo,1,1,3.896517,7.362718
Ibadan,ibadan,Nfallence,,settlement,grid3,Popoyemoja,Ibadan South West,Oyo,1,1,3.88603,7.35895
Ibadan,ibadan,Ode Ige,,settlement,grid3,Odinjo,Ibadan South East,Oyo,1,1,3.911455,7.360453
Ibadan,ibadan,Oke Itunu,,settlement,grid3,Oke Itunu,Ibadan North,Oyo,1,1,3.890252,7.414792
Ibadan,ibadan,Oke Seni,,settlement,grid3,Idikan–Olorisaoko,Ibadan North West,Oyo,1,1,3.88871,7.385
Ibadan,ibadan,Okesuna,,settlement,grid3,Owode,Ibadan South East,Oyo,1,1,3.90672,7.35734
Ibadan,ibadan,Olopomewa,,settlement,grid3,Eleyele,Ibadan North West,Oyo,1,1,3.87159,7.419187
Ibadan,ibadan,Omowunmi,,settlement,grid3,Adesola,Ibadan South East,Oyo,1,1,3.923693,7.365315
Ibadan,ibadan,Samonda,,settlement,grid3,Samonda,Ibadan North,Oyo,1,1,3.905913,7.43377
Ibadan,ibadan,Tobi Rentals Area,,settlement,grid3,Olopomewa,Ibadan North West,Oyo,1,1,3.849755,7.419272
Ibadan,ibadan,Aare Avenue,,settlement,grid3,Bashorun,Ibadan North,Oyo,0,1,3.916097,7.425303
Ibadan,ibadan,Aba Alade Olorunshogo,,settlement,grid3,Aperin,Ibadan North East,Oyo,0,1,3.928648,7.363878
Ibadan,ibadan,Aba Ela,,settlement,grid3,Olopomewa,Ibadan North West,Oyo,0,1,3.836072,7.420145
Ibadan,ibadan,Aba Igbira,Aba Igbira Adeoyo First Gate,settlement,grid3,Ring Road–Challenge–Oluyole,Ibadan South West,Oyo,0,1,3.859728,7.355702
Ibadan,ibadan,Aba Igbira 2,Omololu Olunloyo GRA,settlement,grid3,Ring Road–Challenge–Oluyole,Ibadan South West,Oyo,0,1,3.864388,7.344903
Ibadan,ibadan,Aba Igbira GRA,Omololu Olunloyo GRA,settlement,grid3,Ring Road–Challenge–Oluyole,Ibadan South West,Oyo,0,1,3.860778,7.347223
Ibadan,ibadan,Aba Igbira Ringroad,Arapaja Estate,settlement,grid3,Ring Road–Challenge–Oluyole,Ibadan South West,Oyo,0,1,3.86201,7.353277
Ibadan,ibadan,Aba Nla,Omi Adio,settlement,grid3,Old Bodija,Ibadan North,Oyo,0,1,3.908985,7.410694
Ibadan,ibadan,Abanla,,settlement,grid3,Olopomewa,Ibadan North West,Oyo,0,1,3.82975,7.428623
Ibadan,ibadan,Abayomi,,settlement,grid3,Basorun,Ibadan North East,Oyo,0,1,3.940093,7.403305
Ibadan,ibadan,Abayomi Area,Abayomi Atele,settlement,grid3,Basorun,Ibadan North East,Oyo,0,1,3.940883,7.401502
Ibadan,ibadan,Abebi,,settlement,grid3,Afonta,Ibadan North West,Oyo,0,1,3.853407,7.402165
Ibadan,ibadan,Abegunde Ibadan South West,,settlement,grid3,Agbokojo,Ibadan South West,Oyo,0,1,3.856533,7.338552
Ibadan,ibadan,Adabeji,,settlement,grid3,Oritamerin (sw),Ibadan South West,Oyo,0,1,3.845096,7.371649
Ibadan,ibadan,Adamasingba,,settlement,grid3,Sabo,Ibadan North,Oyo,0,1,3.886838,7.398914
Ibadan,ibadan,Adegoke Ibadan South West,,settlement,grid3,Challenge,Ibadan South East,Oyo,0,1,3.87123,7.33641
Ibadan,ibadan,Adekinle Koloko,,settlement,grid3,Aperin,Ibadan North East,Oyo,0,1,3.924345,7.374495
Ibadan,ibadan,Adeleye Community,,settlement,grid3,Olopomewa,Ibadan North West,Oyo,0,1,3.836818,7.430012
Ibadan,ibadan,Adeoyo Roundabout,,roundabout,osm,Oke Ado–Liberty,Ibadan South West,Oyo,0,1,3.870292,7.360255
Ibadan,ibadan,Adesola Irepodun,,settlement,grid3,Atipe,Ibadan North East,Oyo,0,1,3.925103,7.357663
Ibadan,ibadan,Adetana Ifelodun,,settlement,grid3,Odeaje,Ibadan North East,Oyo,0,1,3.925347,7.352015
Ibadan,ibadan,Adetokun Extension,,settlement,grid3,Olopomewa,Ibadan North West,Oyo,0,1,3.84046,7.42216
Ibadan,ibadan,Adewumi Ifelodun,,settlement,grid3,Odeaje,Ibadan North East,Oyo,0,1,3.925305,7.352852
Ibadan,ibadan,Adigun,,settlement,grid3,Odeaje,Ibadan North East,Oyo,0,1,3.927157,7.343878
Ibadan,ibadan,Afronta,,settlement,grid3,Afonta,Ibadan North West,Oyo,0,1,3.87814,7.39116
Ibadan,ibadan,Agbaje,Adeosun Street,settlement,grid3,Sango,Ibadan North,Oyo,0,1,3.875927,7.42988
Ibadan,ibadan,Agbeni,,settlement,grid3,Amule–Atere,Ibadan South West,Oyo,0,1,3.88718,7.381165
Ibadan,ibadan,Agbo Ile Kure,,settlement,grid3,Adesola,Ibadan South East,Oyo,0,1,3.919878,7.365528
Ibadan,ibadan,Agbole Ogede Ifelodun,,settlement,grid3,Odeaje,Ibadan North East,Oyo,0,1,3.924873,7.353342
Ibadan,ibadan,Agbowo,,settlement,grid3,Agbowo,Ibadan North,Oyo,0,1,3.920128,7.448397
Ibadan,ibadan,Agbowo Express,,settlement,grid3,Agbowo,Ibadan North,Oyo,0,1,3.923483,7.440284
Ibadan,ibadan,Ago Taylor Ibadan North West,,settlement,grid3,Ring Road–Challenge–Oluyole,Ibadan South West,Oyo,0,1,3.8608,7.378974
Ibadan,ibadan,Agodi GRA,,settlement,grid3,Agodi,Ibadan North,Oyo,0,1,3.91264,7.404612
Ibadan,ibadan,Agodi Gate,,settlement,grid3,Oke Adu,Ibadan North East,Oyo,0,1,3.918978,7.394712
Ibadan,ibadan,Agodi Secretariat,,settlement,grid3,Old Bodija,Ibadan North,Oyo,0,1,3.908813,7.409343
Ibadan,ibadan,Agodi Yidi,,settlement,grid3,Oke Adu,Ibadan North East,Oyo,0,1,3.921548,7.397137
Ibadan,ibadan,Agoro,,settlement,grid3,Agugu,Ibadan North East,Oyo,0,1,3.93024,7.387205
Ibadan,ibadan,Agugu Oja,,settlement,grid3,Agugu,Ibadan North East,Oyo,0,1,3.922205,7.384091
Ibadan,ibadan,Ajadi Area,Back Of Tipper Garage Ologuneru,settlement,grid3,Olopomewa,Ibadan North West,Oyo,0,1,3.836405,7.432943
Ibadan,ibadan,Ajewole Timothy,Ashi Area,settlement,grid3,Bashorun,Ibadan North,Oyo,0,1,3.932182,7.431953
