city,subgroup,service,people,F15,people_underserved,share_of_total,rate_source
Lagos,all,health + schools (PT_k),8690986.051600695,0.8537813074230477,1270784.6176695826,1.0,measured
Lagos,all,health only,8690986.051600695,0.7521132601388881,2154380.198509693,1.0,measured
Lagos,all,schools only,8690986.051600695,0.9115741498039709,768507.8306546216,1.0,measured
Lagos,under5,child health / immunisation,941929.888171301,0.7521132601388881,233491.9291565255,0.10838009433898672,inherited from total (constant state-level share)
Lagos,under15,school age,3007213.054490516,0.9115741498039709,265915.3710639215,0.34601517441587093,inherited from total (constant state-level share)
Lagos,women15_49,maternal health,2225517.359552745,0.7521132601388882,551676.2427638395,0.25607190557426474,inherited from total (constant state-level share)
Lagos,over65,elderly care,268004.735285296,0.7521132601388881,66434.82009721232,0.030837091866685856,inherited from total (constant state-level share)
Kano,all,health + schools (PT_k),5780864.803093672,0.6723474743113972,1894114.953397989,1.0,measured
Kano,all,health only,5780864.803093672,0.5585038898840925,2552229.323671818,1.0,measured
Kano,all,schools only,5780864.803093672,0.7444924281759469,1477054.7288815973,1.0,measured
Kano,under5,child health / immunisation,964960.4021690057,0.5585038898840926,426026.2639734976,0.16692319143194634,inherited from total (constant state-level share)
Kano,under15,school age,2630485.734128561,0.7444924281759467,672109.0226450007,0.455033256048617,inherited from total (constant state-level share)
Kano,women15_49,maternal health,1300498.3593743402,0.5585038898840924,574164.9668758909,0.22496605675302575,inherited from total (constant state-level share)
Kano,over65,elderly care,125719.09547817579,0.5585038898840924,55504.491620905,0.021747454707969696,inherited from total (constant state-level share)
Ibadan,all,health + schools (PT_k),1221548.5129346848,0.8210269961972246,218624.20665073392,1.0,measured
Ibadan,all,health only,1221548.5129346848,0.8190657605661211,221019.95111942294,1.0,measured
Ibadan,all,schools only,1221548.5129346848,0.7954182307944483,249906.55594658857,1.0,measured
Ibadan,under5,child health / immunisation,172105.34101456293,0.8190657605661212,31139.748978978285,0.14089112236819143,inherited from total (constant state-level share)
Ibadan,under15,school age,483406.5333345103,0.7954182307944483,98896.16383509662,0.3957325707623023,inherited from total (constant state-level share)
Ibadan,women15_49,maternal health,294779.8274072087,0.8190657605661213,53335.76387237332,0.24131651284075556,inherited from total (constant state-level share)
Ibadan,over65,elderly care,44998.200117713495,0.819065760566121,8141.715114191975,0.03683701436434028,inherited from total (constant state-level share)
Abuja,all,health + schools (PT_k),2168831.144680381,0.16501029970768796,1810951.6674813032,1.0,measured
Abuja,all,health only,2168831.144680381,0.13312138234583418,1880113.3446258307,1.0,measured
Abuja,all,schools only,2168831.144680381,0.25915662832416997,1606764.1778205633,1.0,measured
Abuja,under5,child health / immunisation,319756.30090621527,0.13312138234583415,277189.9001157894,0.14743254756853721,inherited from total (constant state-level share)
Abuja,under15,school age,823796.1881372125,0.2591566283241699,610303.945593269,0.3798341748078386,inherited from total (constant state-level share)
Abuja,women15_49,maternal health,563310.0946243745,0.13312138234583418,488321.47613861517,0.2597298070004381,inherited from total (constant state-level share)
Abuja,over65,elderly care,40034.321140967586,0.13312138234583415,34704.89696940493,0.018458938695694274,inherited from total (constant state-level share)
Port Harcourt,all,health + schools (PT_k),2330583.4640324116,0.30725437256499843,1614501.5040807724,1.0,measured
Port Harcourt,all,health only,2330583.4640324116,0.24666757587180493,1755704.0905926228,1.0,measured
Port Harcourt,all,schools only,2330583.4640324116,0.4708356492515359,1233261.6856098173,1.0,measured
Port Harcourt,under5,child health / immunisation,302912.69207240146,0.24666757587180493,228193.95261809972,0.12997290024031033,inherited from total (constant state-level share)
Port Harcourt,under15,school age,841462.6632686188,0.47083564925153587,445272.0438876121,0.36105236146003844,inherited from total (constant state-level share)
Port Harcourt,women15_49,maternal health,593453.3607076168,0.24666757587180493,447067.65882889315,0.2546372485115013,inherited from total (constant state-level share)
Port Harcourt,over65,elderly care,79833.21841603206,0.24666757587180496,60140.95195530509,0.0342546060452619,inherited from total (constant state-level share)
