city,slug,name,alt_name,kind,source,ward,lga,state,is_primary,in_plate,lon,lat
Kano,kano,Adaraye Cikin Gari,,settlement,grid3,Yada Kunya,Ungogo,Kano,1,1,8.603753,12.07815
Kano,kano,Ajawa,,settlement,grid3,Chalawa,Kumbotso,Kano,1,1,8.444702,11.937317
Kano,kano,Alhaji Uba Yakasai,,settlement,grid3,Kabuga,Gwale,Kano,1,1,8.490347,11.990911
Kano,kano,Alharini Layin Gidan Mahuta,,settlement,grid3,Ungogo,Ungogo,Kano,1,1,8.517531,12.099503
Kano,kano,Bajakawa,,settlement,grid3,Rijiyar Zaki,Ungogo,Kano,1,1,8.42728,11.99253
Kano,kano,Bajallabe,,settlement,grid3,Rijiyar Zaki,Ungogo,Kano,1,1,8.46554,12.0057
Kano,kano,Bajallabe,,settlement,grid3,Tudun Fulani,Ungogo,Kano,1,1,8.465767,12.008747
Kano,kano,Bakin Dinya,,settlement,grid3,Gayawa,Ungogo,Kano,1,1,8.569474,12.093044
Kano,kano,Bakin Masallaci,,settlement,grid3,Chiranchi,Kumbotso,Kano,1,1,8.468414,11.917172
Kano,kano,Barado,,settlement,grid3,Tudun Fulani,Ungogo,Kano,1,1,8.41216,12.03643
Kano,kano,Bechi Gidan Maigari,,settlement,grid3,Garun Gawa,Kumbotso,Kano,1,1,8.500671,11.923523
Kano,kano,Boyen Tsakiya,,settlement,grid3,Karo,Ungogo,Kano,1,1,8.52741,12.104011
Kano,kano,Bubbugaje,,settlement,grid3,Dan Maliki,Kumbotso,Kano,1,1,8.495686,11.94008
Kano,kano,Chabano Rigar Fulani,,settlement,grid3,Garun Gawa,Kumbotso,Kano,1,1,8.491894,11.930946
Kano,kano,Chalawa,,settlement,grid3,Chalawa,Kumbotso,Kano,1,1,8.424536,11.904636
Kano,kano,Challawa Cikin Gari,,settlement,grid3,Chalawa,Kumbotso,Kano,1,1,8.421399,11.90816
Kano,kano,Chiranchi Tudu,,settlement,grid3,Chiranchi,Kumbotso,Kano,1,1,8.472945,11.950859
Kano,kano,Cika Sarari,,settlement,grid3,Dan Maliki,Kumbotso,Kano,1,1,8.510995,11.929461
Kano,kano,Cikin Gida,,settlement,grid3,Karo,Ungogo,Kano,1,1,8.557922,12.116089
Kano,kano,Damfami,,settlement,grid3,Chalawa,Kumbotso,Kano,1,1,8.440779,11.924888
Kano,kano,Dan Rimi Kudu,,settlement,grid3,Kadawa,Ungogo,Kano,1,1,8.489327,12.054133
Kano,kano,Dan Tsinke,,settlement,grid3,Darmanawa,Tarauni,Kano,1,1,8.539418,11.937554
Kano,kano,Dandago,,settlement,grid3,Dandago,Gwale,Kano,1,1,8.508465,11.991321
Kano,kano,Dankunkuru Line Maigari,,settlement,grid3,Gayawa,Ungogo,Kano,1,1,8.571472,12.060913
Kano,kano,Dantani,,settlement,grid3,Unguwar Rimi,Kumbotso,Kano,1,1,8.584715,11.912628
Kano,kano,Dantata Estate,,settlement,grid3,Fagge D2,Fagge,Kano,1,1,8.516676,12.025586
Kano,kano,Dausayi,,settlement,grid3,Garun Gawa,Kumbotso,Kano,1,1,8.524082,11.924957
Kano,kano,Dausayi,,settlement,grid3,Rijiyar Zaki,Ungogo,Kano,1,1,8.446289,12.016113
Kano,kano,Dorayi Karami,,settlement,grid3,Dorayi,Gwale,Kano,1,1,8.478088,11.966492
Kano,kano,Dulo,,settlement,grid3,Mariri,Kumbotso,Kano,1,1,8.615382,11.93761
Kano,kano,Fatake,,settlement,grid3,Danbare,Kumbotso,Kano,1,1,8.412476,11.93573
Kano,kano,Fegin Gara,,settlement,grid3,Bachirawa,Ungogo,Kano,1,1,8.436245,12.052622
Kano,kano,Fegin Sadda,,settlement,grid3,Bachirawa,Ungogo,Kano,1,1,8.424385,12.054482
Kano,kano,Fulani,,settlement,grid3,Tudun Fulani,Ungogo,Kano,1,1,8.424034,12.024766
Kano,kano,Gafiyawa,,settlement,grid3,Panshekara,Kumbotso,Kano,1,1,8.480097,11.897591
Kano,kano,Gaida Tsakuwa,,settlement,grid3,Garun Gawa,Kumbotso,Kano,1,1,8.472193,11.923264
Kano,kano,Gaidar Makada,,settlement,grid3,Chiranchi,Kumbotso,Kano,1,1,8.472309,11.916764
Kano,kano,Galadimawa,,settlement,grid3,Fanisau,Ungogo,Kano,1,1,8.509867,12.085418
Kano,kano,Garin Mai Unguwan Yanbarka,SSA,settlement,grid3,Unguwar Rimi,Kumbotso,Kano,1,1,8.5819,11.893555
Kano,kano,Garu,,settlement,grid3,Unguwar Rimi,Kumbotso,Kano,1,1,8.587856,11.910382
Kano,kano,Gera,,settlement,grid3,Fanisau,Ungogo,Kano,1,1,8.553081,12.092448
Kano,kano,Geza,,settlement,grid3,Danbare,Kumbotso,Kano,1,1,8.469745,11.951876
Kano,kano,Gidan Alhaji Faruk,,settlement,grid3,Kumbotso,Kumbotso,Kano,1,1,8.496527,11.897467
Kano,kano,Gidan Fulani,,settlement,grid3,Chalawa,Kumbotso,Kano,1,1,8.424837,11.913482
Kano,kano,Gidan Gabas,,settlement,grid3,Unguwar Rimi,Kumbotso,Kano,1,1,8.581544,11.893387
Kano,kano,Gidan Jeji,,settlement,grid3,Mariri,Kumbotso,Kano,1,1,8.63078,11.946118
Kano,kano,Gidan Kuka,,settlement,grid3,Chiranchi,Kumbotso,Kano,1,1,8.478882,11.914673
Kano,kano,Gidan Lemo,,settlement,grid3,Tudun Fulani,Ungogo,Kano,1,1,8.450735,12.01904
Kano,kano,Gidan Mai Unguwa,,settlement,grid3,Danbare,Kumbotso,Kano,1,1,8.458995,11.943134
Kano,kano,Gidan Mai Unguwa Limawa,,settlement,grid3,Unguwar Rimi,Kumbotso,Kano,1,1,8.597354,11.893688
Kano,kano,Gidan Makada,,settlement,grid3,Unguwar Rimi,Kumbotso,Kano,1,1,8.56111,11.907728
