city,mode,n,kmh,PT_city,F15
Ibadan,walk network,1,3.5,9.124547326251792,0.8560506264850244
Ibadan,walk network,1,4.5,7.096870142640282,0.9225699723706404
Ibadan,walk network,1,5.0,6.387183128376254,0.9386039440670754
Ibadan,euclidean,1,5.0,3.97266285521903,0.9782496514697728
Ibadan,walk network,5,3.5,15.587796320841107,0.6231664399131872
Ibadan,walk network,5,4.5,12.123841582876414,0.7745404827663551
Ibadan,walk network,5,5.0,10.911457424588775,0.8210269961972246
Ibadan,euclidean,5,5.0,6.8312980343079195,0.9276100953293264
Ibadan,walk network,20,3.5,28.301025904232443,0.0969829775845131
Ibadan,walk network,20,4.5,22.011909036625237,0.3314959167349267
Ibadan,walk network,20,5.0,19.810718132962712,0.4361782944505441
Ibadan,euclidean,20,5.0,13.02118448122897,0.7839464453339884
Port Harcourt,walk network,1,3.5,18.12200646686629,0.5076853999043416
Port Harcourt,walk network,1,4.5,14.09489391867378,0.6740725716752447
Port Harcourt,walk network,1,5.0,12.685404526806405,0.7444920358547016
Port Harcourt,euclidean,1,5.0,8.246166611564757,0.8956213361343578
Port Harcourt,walk network,5,3.5,30.31610083724876,0.0937357237320886
Port Harcourt,walk network,5,4.5,23.579189540082375,0.2279192172776823
Port Harcourt,walk network,5,5.0,21.221270586074137,0.3072543725649984
Port Harcourt,euclidean,5,5.0,14.362520288224127,0.6852611726213493
Port Harcourt,walk network,20,3.5,52.6311024295926,0.0
Port Harcourt,walk network,20,4.5,40.93530188968313,0.0038552991708934
Port Harcourt,walk network,20,5.0,36.84177170071482,0.0109626564062123
Port Harcourt,euclidean,20,5.0,25.896531129922117,0.076630094897776
Kano,walk network,1,3.5,10.570706064941437,0.8009472980071547
Kano,walk network,1,4.5,8.221660272732228,0.8888110340468828
Kano,walk network,1,5.0,7.399494245459005,0.9197958157919918
Kano,euclidean,1,5.0,5.57464028873632,0.9718435930544832
Kano,walk network,5,3.5,19.217962312040452,0.4301957017173927
Kano,walk network,5,4.5,14.94730402047591,0.6008747575236576
Kano,walk network,5,5.0,13.452573618428318,0.6723474743113972
Kano,euclidean,5,5.0,10.11154990397345,0.8222614441075117
Kano,walk network,20,3.5,35.27594405981823,0.0660602054827307
Kano,walk network,20,4.5,27.436845379858628,0.1531328767771796
Kano,walk network,20,5.0,24.69316084187276,0.2074132372904699
Kano,euclidean,20,5.0,18.824089673128807,0.4552386789272992
Abuja,walk network,1,3.5,26.10901160679138,0.3777780270458905
Abuja,walk network,1,4.5,20.307009027504407,0.490963692564449
Abuja,walk network,1,5.0,18.276308124753964,0.5326069264468488
Abuja,euclidean,1,5.0,13.77585355798292,0.7656174915856855
Abuja,walk network,5,3.5,45.93129528132842,0.0495216593814576
Abuja,walk network,5,4.5,35.72434077436655,0.121078880864003
Abuja,walk network,5,5.0,32.15190669692989,0.1650102997076879
Abuja,euclidean,5,5.0,23.07586487848849,0.4055026073357518
Abuja,walk network,20,3.5,84.49651343604442,0.0
Abuja,walk network,20,4.5,65.71951045025678,0.0
Abuja,walk network,20,5.0,59.147559405231085,0.0
Abuja,euclidean,20,5.0,43.14138701633771,0.0188366137013825
Lagos,walk network,1,3.5,8.5799136523185,0.8758807193414915
Lagos,walk network,1,4.5,6.673266174025501,0.9327178134876131
Lagos,walk network,1,5.0,6.005939556622949,0.9488561602174185
Lagos,euclidean,1,5.0,3.7684201735031433,0.986933464885888
Lagos,walk network,5,3.5,14.643555586880522,0.6867523164605319
Lagos,walk network,5,4.5,11.389432123129296,0.814818583735098
Lagos,walk network,5,5.0,10.250488910816367,0.8537813074230477
Lagos,euclidean,5,5.0,6.371813365204823,0.9553013852509753
Lagos,walk network,20,3.5,25.861105493537472,0.1951084653621494
Lagos,walk network,20,4.5,20.114193161640255,0.3793654583987357
Lagos,walk network,20,5.0,18.10277384547623,0.49145839362516563
Lagos,euclidean,20,5.0,11.725082843760289,0.8016231168990154
