city,slug,name,alt_name,kind,source,ward,lga,state,is_primary,in_plate,lon,lat
Lagos,lagos,Adeniji Adele,,settlement,grid3,Okepopo East,Lagos Island,Lagos,1,1,3.397832,6.456415
Lagos,lagos,Agarawu,,settlement,grid3,Oko-Awo–Agarawu,Lagos Island,Lagos,1,1,3.38994,6.457078
Lagos,lagos,Alagomeji,,settlement,grid3,Harvey,Lagos Mainland,Lagos,1,1,3.378046,6.499872
Lagos,lagos,Ashaoku,,settlement,grid3,Idi-Oro–Odi Olowo,Mushin,Lagos,1,1,3.360048,6.528193
Lagos,lagos,Ayantunga,,settlement,grid3,Babalosa 1,Mushin,Lagos,1,1,3.357367,6.53079
Lagos,lagos,Badia,,settlement,grid3,Badia,Apapa,Lagos,1,1,3.358845,6.468738
Lagos,lagos,Balogun,,settlement,grid3,Balogun,Lagos Island,Lagos,1,1,3.383744,6.456807
Lagos,lagos,Coker,,settlement,grid3,Jinadu Aiyetoro,Surulere,Lagos,1,1,3.337417,6.487068
Lagos,lagos,Gbangba,,settlement,grid3,Igbehin,Mushin,Lagos,1,1,3.337828,6.521312
Lagos,lagos,Harvey,,settlement,grid3,Harvey,Lagos Mainland,Lagos,1,1,3.372673,6.509272
Lagos,lagos,Idumota,,settlement,grid3,Idumoyingbo,Lagos Island,Lagos,1,1,3.386877,6.462458
Lagos,lagos,Ijora,,settlement,grid3,Ijora,Apapa,Lagos,1,1,3.364198,6.465172
Lagos,lagos,Isale Eko,,settlement,grid3,Idumoyingbo,Lagos Island,Lagos,1,1,3.386862,6.464283
Lagos,lagos,Itun Agan,,settlement,grid3,Abraham Adesanya,Apapa,Lagos,1,1,3.360867,6.425833
Lagos,lagos,Kelani Off Moshalashi,,settlement,grid3,Moshalashi–Agoro,Mushin,Lagos,1,1,3.353956,6.526467
Lagos,lagos,Light House Abagbo 1,,settlement,grid3,Tarkwa Bay,Eti Osa,Lagos,1,1,3.391111,6.403957
Lagos,lagos,Makoko,,settlement,grid3,Makoko,Lagos Mainland,Lagos,1,1,3.386781,6.496301
Lagos,lagos,Ogungbaiye,,settlement,grid3,Babalosa 2,Mushin,Lagos,1,1,3.354543,6.525005
Lagos,lagos,Orile,,settlement,grid3,Osho,Surulere,Lagos,1,1,3.333677,6.479385
Lagos,lagos,Shakiru Akinlade,,settlement,grid3,Okun Ajah–Okunmopo,Eti Osa,Lagos,1,1,3.618937,6.42685
Lagos,lagos,Suru Alaba,,settlement,grid3,Coker,Surulere,Lagos,1,1,3.320098,6.462655
Lagos,lagos,Abagbo,,settlement,grid3,Abraham Adesanya,Apapa,Lagos,0,1,3.381087,6.408819
Lagos,lagos,Abiodun,,settlement,grid3,Babalosa 1,Mushin,Lagos,0,1,3.356953,6.529984
Lagos,lagos,Abule Ijesha,,settlement,grid3,Abule Ijesha,Lagos Mainland,Lagos,0,1,3.377702,6.525974
Lagos,lagos,Adebeshi Street,,settlement,grid3,Babalosa 1,Mushin,Lagos,0,1,3.358465,6.531595
Lagos,lagos,Adedoja,,settlement,grid3,Idi-Oro–Odi Olowo,Mushin,Lagos,0,1,3.358945,6.528507
Lagos,lagos,Adekunle,,settlement,grid3,Adekunle–Aiyetoro,Lagos Mainland,Lagos,0,1,3.383059,6.493331
