city,kind,ward,lga,pop,F15,F15_health,PT_city
Lagos,worst_F15,Ikoyi 1,Eti Osa,51296.29401397705,0.0,0.0,33.98455876756272
Lagos,worst_F15,Agboyi 2,Kosofe,2848.3612365722656,0.0,0.0,21.513458711234392
Lagos,worst_F15,Agboyi 1,Kosofe,2069.844985961914,0.0,0.0,23.846720696267415
Lagos,worst_F15,Falomo–Oyinkan Abayomi,Eti Osa,24028.323364257812,0.0153786228181997,0.0,20.992285654656417
Lagos,best_F15,Isale Gangan,Lagos Island,2192.10205078125,1.0,1.0,1.862062615742872
Lagos,best_F15,Idumoyingbo,Lagos Island,2304.1591796875,1.0,1.0,1.97901160775824
Lagos,best_F15,Ajele,Lagos Island,2314.5777893066406,1.0,1.0,3.877128119011009
Lagos,best_F15,Olosun–Ojo Oto,Lagos Island,2511.2591552734375,1.0,1.0,3.073638996197286
Lagos,longest_walk,Ikosi Isheri,Kosofe,14200.466454029083,0.1304729907968876,0.1301261892220855,113.29722626471894
Lagos,longest_walk,Okun Ajah–Okunmopo,Eti Osa,81641.97025489807,0.1162033164269195,0.0087058432023793,39.027454153545925
Lagos,longest_walk,Taffi,Ojo,12933.949382305143,0.4292092175409995,0.2467748799129314,37.195835246832445
Lagos,longest_walk,Ikoyi 1,Eti Osa,51296.29401397705,0.0,0.0,33.98455876756272
Kano,worst_F15,Ungogo,Ungogo,83617.0743765831,0.0,0.0,25.0890084916948
Kano,worst_F15,Yada Kunya,Ungogo,51642.30925130844,0.0,0.0,25.043263248522138
Kano,worst_F15,Fanisau,Ungogo,48493.711196899414,0.0,0.0,22.894527915170386
Kano,worst_F15,Unguwar Rimi,Kumbotso,41477.55139541626,0.0,0.0,29.006971846302196
Kano,best_F15,Fagge D1,Fagge,4759.92529296875,1.0,1.0,4.057201768936798
Kano,best_F15,Gyadi Gyadi Arewa,Tarauni,6040.55029296875,1.0,1.0,3.6034759471371407
Kano,best_F15,Fagge B,Fagge,6327.513916015625,1.0,1.0,5.216948632980082
Kano,best_F15,Jakara,Kano Municipal,6479.7705078125,1.0,1.0,4.729141048388786
Kano,longest_walk,Chalawa,Kumbotso,39514.27220582962,0.0,0.0,36.19840985989771
Kano,longest_walk,Karo,Ungogo,20682.260355472565,0.0,0.0903319019268815,30.4031459535282
Kano,longest_walk,Unguwar Rimi,Kumbotso,41477.55139541626,0.0,0.0,29.006971846302196
Kano,longest_walk,Kureken Sani,Kumbotso,77329.9977927208,0.0466284360324677,0.051148647898628,25.57574062798163
Ibadan,worst_F15,Oritamerin (SW),Ibadan South West,4851.406799316406,0.0,0.2001181373461198,18.021619030330708
Ibadan,worst_F15,Olopomewa,Ibadan North West,77695.10194826126,0.1242912374131607,0.1348476441177875,22.317313736321697
Ibadan,worst_F15,Agbokojo,Ibadan South West,11558.733337402344,0.3921655759828475,0.168654223807611,20.45935108422119
Ibadan,worst_F15,Samonda,Ibadan North,30486.898908376697,0.3993150105731034,0.3378725696980201,18.308806041694897
Ibadan,best_F15,Odo Osun,Ibadan North East,2185.66552734375,1.0,1.0,6.665011358720509
Ibadan,best_F15,Agbaje–Idikan,Ibadan North West,2208.6962890625,1.0,1.0,2.5547978054103746
Ibadan,best_F15,Bere,Ibadan North West,2486.8779296875,1.0,1.0,6.143102392059996
Ibadan,best_F15,Asukuna,Ibadan North West,2508.692626953125,1.0,1.0,2.834846328610517
Ibadan,longest_walk,Olopomewa,Ibadan North West,77695.10194826126,0.1242912374131607,0.1348476441177875,22.317313736321697
Ibadan,longest_walk,Agbokojo,Ibadan South West,11558.733337402344,0.3921655759828475,0.168654223807611,20.45935108422119
Ibadan,longest_walk,Samonda,Ibadan North,30486.898908376697,0.3993150105731034,0.3378725696980201,18.308806041694897
Ibadan,longest_walk,Oritamerin (SW),Ibadan South West,4851.406799316406,0.0,0.2001181373461198,18.021619030330708
Port Harcourt,worst_F15,Rumuoji Eneka,Obio/Akpor,203102.3859887123,0.0,0.0,36.11825780931913
Port Harcourt,worst_F15,Egberuukwu Oyigbo,Obio/Akpor,66066.63324165344,0.0,0.0,52.482169300702
Port Harcourt,worst_F15,Rumunduru,Obio/Akpor,108236.1933670044,0.0060215724049474,0.0060215724049474,23.41956188370579
Port Harcourt,worst_F15,Mgbu Minkpiti,Obio/Akpor,149370.07984399796,0.1073465781105939,0.0224414164829791,22.160489418050787
Port Harcourt,best_F15,PH 13,Port-Harcourt,2177.74072265625,1.0,1.0,10.663687825323718
Port Harcourt,best_F15,PH 12,Port-Harcourt,3152.150390625,1.0,1.0,9.113363732159844
Port Harcourt,best_F15,PH 6,Port-Harcourt,11056.457824707031,1.0,1.0,9.000743692778556
Port Harcourt,best_F15,Orogbum,Port-Harcourt,14525.602355957031,1.0,1.0,10.801276520935916
Port Harcourt,longest_walk,Egberuukwu Oyigbo,Obio/Akpor,66066.63324165344,0.0,0.0,52.482169300702
Port Harcourt,longest_walk,Rumuoji Eneka,Obio/Akpor,203102.3859887123,0.0,0.0,36.11825780931913
Port Harcourt,longest_walk,Rumuolata,Obio/Akpor,132181.88339710236,0.1606813521752998,0.1000299654623235,24.592080201208788
Port Harcourt,longest_walk,Eagle Island,Port-Harcourt,37157.5455994606,0.4214596418641874,0.4745714062657047,24.321144604750717
Abuja,worst_F15,Gui,Municipal Area Council,132112.39193594456,0.0,0.11112031567893604,59.99072380221986
Abuja,worst_F15,Orozo,Municipal Area Council,126772.55221652985,0.06177440570013627,0.0,33.57317653276211
Abuja,worst_F15,Gwarinpa,Municipal Area Council,429587.3542596102,0.11511382116187328,0.114068181897362,27.791247330364648
Abuja,worst_F15,Garki,Municipal Area Council,248977.93890190125,0.11933739660534715,0.08646690157304236,34.24234354016035
